🏆  MUNDIAL 2026  –  Calendário Completo & Classificação por Grupo,,,,,,,,,,,,,,,,,,
Horários em hora de Portugal Continental  |  11 junho – 19 julho 2026  |  Insere os golos nas células ⬛ amarelas — a classificação actualiza-se automaticamente,,,,,,,,,,,,,,,,,,
Grp,Data,Dia,Hora (PT),Jogo,"Golos
Casa", - ,"Golos
Fora",Canal,,Seleção,J,V,E,D,GM,GS,DG,Pts
  ⚽  GRUPO A,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,11/06/2026,Quinta,20:00,México x África do Sul,,-,,RTP 1 / LiveModeTV,,México,0,0,0,0,0,0,0,0
J1,12/06/2026,Sexta,03:00,Coreia do Sul x Chéquia,,-,,Sport TV 2,,África do Sul,0,0,0,0,0,0,0,0
J2,18/06/2026,Quinta,17:00,Chéquia x África do Sul,,-,,Sport TV 1,,Coreia do Sul,0,0,0,0,0,0,0,0
J2,19/06/2026,Sexta,02:00,México x Coreia do Sul,,-,,Sport TV 1,,Chéquia,0,0,0,0,0,0,0,0
J3,25/06/2026,Quinta,02:00,Chéquia x México,,-,,Sport TV 1,,,,,,,,,,
J3,25/06/2026,Quinta,02:00,África do Sul x Coreia do Sul,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO B,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,12/06/2026,Sexta,20:00,Canadá x Bósnia e Herzegovina,,-,,Sport TV 1 / LiveModeTV,,Canadá,0,0,0,0,0,0,0,0
J1,13/06/2026,Sábado,20:00,Catar x Suíça,,-,,Sport TV 2,,Bósnia e Herzegovina,0,0,0,0,0,0,0,0
J2,18/06/2026,Quinta,20:00,Suíça x Bósnia e Herzegovina,,-,,Sport TV 1 / LiveModeTV,,Catar,0,0,0,0,0,0,0,0
J2,18/06/2026,Quinta,23:00,Canadá x Catar,,-,,Sport TV 2,,Suíça,0,0,0,0,0,0,0,0
J3,24/06/2026,Quarta,20:00,Suíça x Canadá,,-,,Sport TV 1,,,,,,,,,,
J3,24/06/2026,Quarta,20:00,Bósnia e Herzegovina x Catar,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO C,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,13/06/2026,Sábado,23:00,Brasil x Marrocos,,-,,Sport TV 1 / LiveModeTV,,Brasil,0,0,0,0,0,0,0,0
J1,14/06/2026,Domingo,02:00,Haiti x Escócia,,-,,Sport TV 2,,Marrocos,0,0,0,0,0,0,0,0
J2,19/06/2026,Sexta,23:00,Escócia x Marrocos,,-,,Sport TV 2,,Haiti,0,0,0,0,0,0,0,0
J2,20/06/2026,Sábado,01:30,Brasil x Haiti,,-,,Sport TV 1 / LiveModeTV,,Escócia,0,0,0,0,0,0,0,0
J3,24/06/2026,Quarta,23:00,Escócia x Brasil,,-,,Sport TV 1 / LiveModeTV,,,,,,,,,,
J3,24/06/2026,Quarta,23:00,Marrocos x Haiti,,-,,Sport TV 2,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  ⚽  GRUPO D,,,,,,,,,,Seleção,J,V,E,D,GM,GS,DG,Pts
J1,13/06/2026,Sábado,02:00,EUA x Paraguai,,-,,Sport TV 1,,EUA,0,0,0,0,0,0,0,0
J1,14/06/2026,Domingo,05:00,Austrália x Turquia,,-,,Sport TV 2,,Paraguai,0,0,0,0,0,0,0,0
