🏆 FIFA WORLD CUP 2026 – FASE ELIMINATÓRIA (KNOCKOUT BRACKET),,,,,,,,
Calendário estruturado de acordo com o emparelhamento oficial da FIFA (Jogos 73 a 104),,,,,,,,

Fase,Nº Jogo,Data,Dia,Jogo,Golos Casa, - ,Golos Fora,Local / Estádio
32 avos de final,Jogo 73,28/06/2026,Domingo,2º Grupo A x Canadá,,-,,Los Angeles Stadium
32 avos de final,Jogo 74,29/06/2026,Segunda,Alemanha x 3º Grupo A/B/C/D/F,,-,,Boston Stadium
32 avos de final,Jogo 75,29/06/2026,Segunda,Países Baixos x 2º Grupo C,,-,,Estadio Monterrey
32 avos de final,Jogo 76,29/06/2026,Segunda,Brasil x Japão,,-,,Houston Stadium
32 avos de final,Jogo 77,30/06/2026,Terça,França x 3º Grupo C/D/F/G/H,,-,,New York New Jersey Stadium
32 avos de final,Jogo 78,30/06/2026,Terça,2º Grupo E x Noruega,,-,,Dallas Stadium
32 avos de final,Jogo 79,30/06/2026,Terça,México x 3º Grupo C/E/F/H/I,,-,,Estadio Azteca (México City)
32 avos de final,Jogo 80,30/06/2026,Terça,1º Grupo L x 3º Grupo E/H/I/J/K,,-,,Atlanta Stadium
32 avos de final,Jogo 81,01/07/2026,Quarta,EUA x 3º Grupo B/E/F/I/J,,-,,San Francisco Bay Area Stadium
32 avos de final,Jogo 82,01/07/2026,Quarta,1º Grupo G x 3º Grupo A/E/H/I/J,,-,,Seattle Stadium
32 avos de final,Jogo 83,02/07/2026,Quinta,2º Grupo K x 2º Grupo L,,-,,Toronto Stadium
32 avos de final,Jogo 84,02/07/2026,Quinta,1º Grupo H x 2º Grupo J,,-,,Los Angeles Stadium
32 avos de final,Jogo 85,02/07/2026,Quinta,Suíça x 3º Grupo E/F/G/I/J,,-,,BC Place Vancouver
32 avos de final,Jogo 86,03/07/2026,Sexta,Argentina x 2º Grupo H,,-,,Miami Stadium
32 avos de final,Jogo 87,03/07/2026,Sexta,1º Grupo K x 3º Grupo D/E/I/J/L,,-,,Kansas City Stadium
32 avos de final,Jogo 88,03/07/2026,Sexta,Austrália x 2º Grupo G,,-,,Dallas Stadium
Oitavos de final,Jogo 89,04/07/2026,Sábado,Vencedor Jogo 74 x Vencedor Jogo 77,,-,,Philadelphia Stadium
Oitavos de final,Jogo 90,04/07/2026,Sábado,Vencedor Jogo 73 x Vencedor Jogo 75,,-,,Houston Stadium
Oitavos de final,Jogo 91,05/07/2026,Domingo,Vencedor Jogo 76 x Vencedor Jogo 78,,-,,New York New Jersey Stadium
Oitavos de final,Jogo 92,05/07/2026,Domingo,Vencedor Jogo 79 x Vencedor Jogo 80,,-,,Mexico City Stadium
Oitavos de final,Jogo 93,06/07/2026,Segunda,Vencedor Jogo 83 x Vencedor Jogo 84,,-,,Dallas Stadium
Oitavos de final,Jogo 94,06/07/2026,Segunda,Vencedor Jogo 81 x Vencedor Jogo 82,,-,,Seattle Stadium
Oitavos de final,Jogo 95,07/07/2026,Terça,Vencedor Jogo 86 x Vencedor Jogo 88,,-,,Atlanta Stadium
Oitavos de final,Jogo 96,07/07/2026,Terça,Vencedor Jogo 85 x Vencedor Jogo 87,,-,,BC Place Vancouver
Quartos de final,Jogo 97,09/07/2026,Quinta,Vencedor Jogo 89 x Vencedor Jogo 90,,-,,Boston Stadium
Quartos de final,Jogo 98,10/07/2026,Sexta,Vencedor Jogo 93 x Vencedor Jogo 94,,-,,Los Angeles Stadium
Quartos de final,Jogo 99,11/07/2026,Sábado,Vencedor Jogo 91 x Vencedor Jogo 92,,-,,Miami Stadium
Quartos de final,Jogo 100,11/07/2026,Sábado,Vencedor Jogo 95 x Vencedor Jogo 96,,-,,Kansas City Stadium
Meias-finais,Jogo 101,14/07/2026,Terça,Vencedor Jogo 97 x Vencedor Jogo 98,,-,,Dallas Stadium
Meias-finais,Jogo 102,15/07/2026,Quarta,Vencedor Jogo 99 x Vencedor Jogo 100,,-,,Atlanta Stadium
3º e 4º Lugar,Jogo 103,18/07/2026,Sábado,Derrotado Jogo 101 x Derrotado Jogo 102,,-,,Miami Stadium
Final,Jogo 104,19/07/2026,Domingo,Vencedor Jogo 101 x Vencedor Jogo 102,,-,,New York New Jersey Stadium
